Kalimat #,text
42,nyobain
42,blueberry
42,cheesecake
42,temenku
42,nyobain
42,smoothie
42,bowl
42,dan
42,french
42,fries
42,semua
42,menunya
42,enak2
42,harganya
42,standar
42,cafe
42,bandung
42,lah
42,ambience
42,oke
42,betah
42,bgt
42,buat
42,berlamalama
42,area
42,belakang
42,outdoornya
42,bagus
42,buat
42,foto2
42,tp
42,kl
42,jam
42,makan
42,siang
42,memang
42,rame
42,bgt
42,si
43,this
43,restaurant
43,is
43,way
43,overrated
43,they
43,do
43,have
43,extensive
43,menu
43,but
43,the
43,ones
43,i’ve
43,tried
43,from
43,my
43,several
43,visits
43,are
43,mediocre
43,at
43,best
44,suka
44,pol
44,sm
44,bakery
44,ini
44,lengkappp
44,mulai
44,dari
44,kue
44,roti
44,aku
44,suka
44,bgt
44,sm
44,scones
44,beef
44,and
44,chesenya
44,banana
44,breadnya
44,enak
44,mantul
44,bgt
44,sih
44,harga
44,jg
44,terjangkau
44,dan
44,pastinya
44,fresh
44,dan
44,bahannya
44,sehat
44,dan
44,high
44,quality
45,hey
45,everyone
45,i
45,just
45,got
45,back
45,from
45,school
45,and
45,i
45,was
45,craving
45,some
45,artisan
45,sandwich
45,so
45,i
45,decided
45,to
45,go
45,and
45,est
45,lunch
45,at
45,moms
45,moms
45,bakery
45,recently
45,has
45,been
45,my
45,favorite
45,breakfast
45,spot
45,on
45,sunday
45,mornings
45,and
45,now
45,it
45,seems
45,like
45,i
45,cant
45,get
45,enough
45,of
45,them
45,but
45,i
45,mean
45,who
45,doesnt
45,love
45,their
45,sandwiches
45,i
45,decided
45,to
45,have
45,tempe
45,on
45,multigrain
45,sourdough
45,dressed
45,in
45,spicy
45,thai
45,peanut
45,sauce
45,its
45,vegan
45,and
45,very
45,delicious
45,trust
45,me
45,when
45,i
45,say
45,that
45,youre
45,going
45,to
45,fall
45,in
45,love
45,so
45,hard
45,with
45,their
45,homemade
45,tempe
45,ambiencewise
45,its
45,a
45,bit
45,tight
45,so
45,usually
45,coming
45,here
45,in
45,the
45,mornings
45,might
45,become
45,a
45,problem
45,since
45,a
45,lot
45,of
45,people
45,like
45,to
45,have
45,breakfast
45,here
45,but
45,it
45,gives
45,you
45,the
45,homey
45,rustic
45,feeling
45,just
45,imagine
45,eating
45,a
45,sandwich
45,that
45,is
45,made
45,by
45,your
45,mom
45,with
45,love
46,tiny
46,place
46,with
46,long
46,queue
46,but
46,really
46,worth
46,waiting
46,‘customized’
46,sandwich
46,all
46,the
46,breads
46,pastries
46,even
46,the
46,snacks
46,are
46,good
46,pita
46,chips
46,and
46,flaxseed
46,garlic
46,cookies
46,are
46,two
46,of
46,the
46,best
46,snacks
46,i
46,love
47,salah
47,satu
47,tempat
47,sarapan
47,sehat
47,favorite
47,di
47,bandung
47,cuma
47,kalau
47,weekend
47,biasanya
47,suka
47,ga
47,kebagian
47,tempat
47,duduk
47,karena
47,terbatas
47,tapi
47,rasa
47,makannya
48,food
48,is
48,good
48,but
48,susah
48,cari
48,tempat
48,duduk
48,crowded
48,maybe
48,hrs
48,diantisipasi
48,kalau
48,lagi
48,peak
48,hours
48,makanan
48,keluar
48,lama
48,garpu
48,pisau
48,sampai
48,habis
48,stocks
48,nya
48,and
48,jwbannya
48,nanti
48,ya
48,bu
48,hrs
48,dicuci
48,dulu
48,masa
48,stock
48,garpu
48,dan
48,pisau
48,bisa
48,ampe
48,habis
48,ditawarinnya
48,garpu
48,plastic
48,not
48,comforting
48,deh
48,jadinya
48,sayang
48,makanan
48,enak
48,tapi
48,bad
48,servis
48,dan
48,lainnya
49,favorit
49,breakfast
49,place
49,di
49,bandung
49,kalo
49,kesini
49,kita
49,selalu
49,pesen
49,“build
49,your
49,own”
49,sandwichnya
49,paling
49,suka
49,yang
49,roast
49,beef
49,dgn
49,dressing
49,honey
49,mustard
49,dan
49,olive
49,balsamic
49,satu2nya
49,yg
49,perlu
49,diimprove
49,adalah
49,antrian
49,dan
49,servicenya
49,yg
49,agak
49,lama
50,more
50,on
50,instagram
50,stanzazone
50,moms
50,artisan
50,bakery
50,is
50,located
50,at
50,progo
50,street
50,next
50,to
50,hummingbird
50,cafe
50,it
50,was
50,nicely
50,designed
50,with
50,natural
50,wooden
